distance_km,weight_kg,volume_cbm,cargo_type,transport_mode,season,price
1626.52,21212.67,1.73,PERISHABLE,AIR,4,24462.72
7592.12,17893.29,22.73,STANDARD,ROAD,2,26555.2
4607.44,23407.75,19.69,PERISHABLE,SEA,4,13392.96
6872.87,14940.06,24.74,PERISHABLE,ROAD,4,33697.22
7621.97,2018.54,22.66,HAZARDOUS,ROAD,2,30663.67
2737.13,18037.27,6.1,STANDARD,ROAD,3,10045.25
979.94,30648.25,41.58,FRAGILE,AIR,1,14013.66
1976.05,5692.16,66.08,PERISHABLE,SEA,4,5524.34
3659.06,22111.16,54.8,FRAGILE,SEA,3,9144.74
6962.22,6509.78,60.72,STANDARD,RAIL,1,17713.77
7323.17,17192.9,7.76,FRAGILE,ROAD,3,32953.1
108.75,3183.98,85.66,FRAGILE,ROAD,3,543.19
4365.81,14466.83,75.55,FRAGILE,ROAD,1,19713.68
3577.12,24221.61,72.56,STANDARD,RAIL,4,11246.65
1926.81,11187.53,74.16,STANDARD,SEA,3,3918.56
1062.86,21310.68,83.98,HAZARDOUS,RAIL,4,5366.94
2902.85,25474.85,49.21,PERISHABLE,ROAD,4,15831.86
8017.59,29676.97,18.43,STANDARD,ROAD,4,35749.2
2781.06,7585.08,55.7,PERISHABLE,ROAD,1,12827.35
4433.78,12838.18,66.99,STANDARD,RAIL,2,11799.1
5990.51,4962.07,66.54,FRAGILE,AIR,4,77322.32
3122.67,31760.22,47.17,HAZARDOUS,SEA,2,9338.39
8261.56,29671.33,6.63,HAZARDOUS,SEA,2,24339.13
8182.68,17324.63,33.71,PERISHABLE,RAIL,3,28502.65
2177.56,26960.86,82.91,STANDARD,RAIL,4,7869.8
4251.75,16718.56,52.81,PERISHABLE,ROAD,4,22666.93
2592.42,19992.38,48.68,STANDARD,SEA,4,5299.91
2456.9,2943.07,24.56,HAZARDOUS,SEA,2,5942.69
361.69,24193.13,33.48,HAZARDOUS,ROAD,1,1999.32
5200.82,4174.06,80.63,FRAGILE,RAIL,2,18995.71
4297.64,26451.56,60.15,STANDARD,RAIL,4,14103.31
485.0,25046.7,70.97,PERISHABLE,SEA,4,1396.07
2404.56,22708.96,41.16,STANDARD,AIR,4,27592.2
7724.85,1253.52,56.91,STANDARD,SEA,2,13987.68
2074.3,9769.79,22.73,HAZARDOUS,RAIL,4,8756.3
1274.36,8493.29,63.64,STANDARD,ROAD,3,4550.78
4185.88,11588.35,38.77,HAZARDOUS,ROAD,4,24066.56
8378.75,2895.8,40.11,STANDARD,ROAD,1,27086.7
2095.37,29988.95,58.61,STANDARD,ROAD,3,8840.92
5729.55,17766.29,84.3,HAZARDOUS,SEA,4,20065.06
6485.69,9846.23,6.23,FRAGILE,SEA,3,13283.02
2058.04,12763.71,74.31,STANDARD,ROAD,4,9114.57
6203.43,14365.76,26.67,HAZARDOUS,SEA,1,13944.56
3157.77,19258.96,40.23,FRAGILE,ROAD,4,15183.92
5392.98,16550.17,2.46,FRAGILE,ROAD,3,22757.62
5403.33,29428.6,27.44,STANDARD,ROAD,1,20304.05
4577.3,15953.14,45.49,HAZARDOUS,RAIL,2,17044.39
812.95,31749.84,5.53,HAZARDOUS,ROAD,1,4939.34
7108.31,27260.46,44.45,HAZARDOUS,RAIL,1,31548.75
2760.59,6751.49,83.48,STANDARD,RAIL,1,8264.46
1626.08,29785.99,9.93,HAZARDOUS,AIR,3,26599.54
394.55,3812.09,68.92,FRAGILE,ROAD,1,1816.03
5043.05,26176.65,37.17,FRAGILE,ROAD,4,27314.92
5775.42,12241.88,59.14,STANDARD,ROAD,1,21130.86
190.17,28107.38,23.79,PERISHABLE,SEA,1,529.15
4377.19,27791.01,14.77,HAZARDOUS,ROAD,4,28699.52
1963.89,25809.02,14.86,STANDARD,SEA,4,4300.78
5501.71,25301.97,6.81,STANDARD,RAIL,2,15445.09
1523.4,9819.26,17.12,PERISHABLE,RAIL,1,4659.37
5888.42,2681.33,59.95,STANDARD,SEA,3,11376.48
3317.91,12955.07,79.41,PERISHABLE,ROAD,1,17069.56
7965.37,5635.43,73.36,FRAGILE,ROAD,1,37832.01
1212.05,22268.94,61.82,FRAGILE,ROAD,4,6219.43
2932.01,11140.58,10.38,STANDARD,SEA,2,4925.73
1008.85,31221.97,26.38,STANDARD,ROAD,1,4094.19
7863.66,20547.01,28.23,PERISHABLE,ROAD,3,38241.65
7463.52,26337.13,22.87,STANDARD,AIR,1,74175.0
2229.61,4327.54,46.59,HAZARDOUS,ROAD,3,10665.15
5626.87,27598.26,48.43,STANDARD,SEA,4,12673.96
6955.53,29535.95,32.44,STANDARD,SEA,2,14773.32
4741.45,15637.28,32.16,STANDARD,ROAD,1,15427.36
4525.55,19439.47,74.66,FRAGILE,ROAD,2,20804.07
2093.65,24497.43,71.14,PERISHABLE,ROAD,1,10608.55
836.72,5677.35,28.05,STANDARD,SEA,3,1461.22
7631.47,16131.86,82.28,STANDARD,SEA,2,14877.21
7658.53,12817.35,85.78,STANDARD,SEA,1,16430.31
5399.71,4769.33,29.74,FRAGILE,AIR,4,61799.73
2914.8,11824.35,32.22,STANDARD,SEA,3,4921.2
3000.82,2274.7,45.75,PERISHABLE,ROAD,2,12834.77
6184.33,923.4,84.73,FRAGILE,ROAD,1,31268.23
7630.58,4411.8,78.93,FRAGILE,SEA,2,18690.93
7545.88,30823.37,9.68,STANDARD,ROAD,1,27624.24
6639.95,17629.99,35.65,PERISHABLE,ROAD,3,29982.08
5475.17,30909.73,50.03,STANDARD,SEA,4,13013.63
760.98,13896.68,45.53,STANDARD,RAIL,3,1933.07
1415.76,10046.93,17.85,FRAGILE,AIR,2,14388.54
7642.78,16245.93,77.36,FRAGILE,SEA,2,18745.81
5174.33,14120.42,61.09,STANDARD,ROAD,1,19472.39
127.72,3470.7,75.49,STANDARD,AIR,3,1141.87
907.43,20542.36,77.36,HAZARDOUS,ROAD,1,5287.64
5656.59,6991.62,67.48,STANDARD,ROAD,3,22850.44
92.77,19864.86,39.81,HAZARDOUS,RAIL,2,500.0
1408.83,20841.41,55.14,FRAGILE,ROAD,1,6297.42
4686.8,4949.59,14.85,STANDARD,RAIL,1,9542.07
5896.51,2057.05,60.79,STANDARD,ROAD,3,22328.1
5559.07,25006.29,16.54,STANDARD,RAIL,4,18955.09
1945.08,14767.63,62.61,HAZARDOUS,RAIL,3,8120.3
6067.91,1955.43,21.05,FRAGILE,SEA,4,14224.9
2054.75,31836.24,11.02,STANDARD,SEA,3,4743.07
2799.63,1943.2,15.29,FRAGILE,ROAD,2,10168.82
6357.85,22271.62,0.68,PERISHABLE,RAIL,1,24435.71
5539.4,31479.36,64.83,STANDARD,RAIL,3,18135.69
7225.94,7729.85,66.05,PERISHABLE,ROAD,2,31389.96
5606.83,4637.75,46.59,STANDARD,SEA,3,10185.72
4852.21,3972.18,14.94,STANDARD,SEA,1,7845.3
841.55,9774.48,7.98,STANDARD,ROAD,3,2633.14
3157.2,3323.36,2.21,STANDARD,RAIL,4,7659.06
2290.96,22179.95,15.33,STANDARD,ROAD,1,7982.64
2111.71,2087.11,80.23,STANDARD,SEA,4,5191.02
8271.94,16350.57,22.12,PERISHABLE,ROAD,2,39631.87
3371.68,31894.63,32.21,HAZARDOUS,AIR,2,53359.3
7587.79,26065.65,9.93,HAZARDOUS,SEA,3,23224.57
5383.12,19725.5,20.4,STANDARD,RAIL,4,16085.03
6766.16,9869.49,46.97,STANDARD,SEA,4,13959.61
4297.28,20002.28,54.89,STANDARD,AIR,1,41823.69
4924.84,16912.62,22.46,HAZARDOUS,SEA,4,15074.56
4211.77,13692.06,5.67,PERISHABLE,ROAD,4,21122.12
1699.8,4269.66,35.5,STANDARD,RAIL,1,4628.27
6154.72,28382.67,21.46,STANDARD,SEA,1,12152.03
2422.53,14448.13,20.15,FRAGILE,SEA,4,5477.51
255.47,6308.46,86.41,STANDARD,SEA,3,543.31
5504.24,11831.52,55.66,STANDARD,SEA,1,9502.57
1546.59,13310.74,50.34,FRAGILE,SEA,1,3201.61
7996.88,26498.46,37.71,HAZARDOUS,AIR,4,135767.99
8110.7,23502.3,38.89,STANDARD,ROAD,4,32946.38
7780.6,24640.83,48.91,STANDARD,RAIL,1,21408.4
3177.84,451.9,62.83,PERISHABLE,SEA,4,9167.7
180.61,13375.31,63.34,STANDARD,SEA,1,500.0
7894.29,15454.88,15.87,STANDARD,SEA,3,14517.75
3668.16,712.23,45.26,STANDARD,ROAD,3,13216.62
8218.23,8388.04,37.37,STANDARD,SEA,1,13603.66
8192.59,24353.25,78.41,STANDARD,SEA,1,16284.77
7257.93,4473.8,57.01,HAZARDOUS,ROAD,2,37844.98
2538.09,17176.39,48.16,STANDARD,RAIL,2,6118.99
3304.08,6964.94,10.83,STANDARD,ROAD,4,10099.35
7242.1,486.65,54.7,FRAGILE,ROAD,4,35867.07
2727.99,7794.33,10.99,FRAGILE,ROAD,1,10293.36
1482.21,31230.37,30.68,PERISHABLE,RAIL,1,6552.14
4754.97,25669.03,13.28,PERISHABLE,RAIL,2,18350.77
7960.51,30710.49,62.44,STANDARD,SEA,2,17350.85
5931.45,15662.54,18.96,HAZARDOUS,SEA,1,15088.09
4867.02,3600.58,35.57,STANDARD,SEA,3,8710.87
871.14,17579.91,80.66,PERISHABLE,ROAD,3,4980.94
5246.81,14594.64,18.79,STANDARD,ROAD,4,18080.33
8415.96,27034.99,45.95,PERISHABLE,SEA,1,22814.68
1233.71,3228.83,38.02,HAZARDOUS,ROAD,1,6321.69
4429.89,15674.89,2.12,STANDARD,AIR,4,46246.12
7463.8,4886.55,71.45,FRAGILE,SEA,2,19058.47
6309.49,10457.16,6.68,PERISHABLE,RAIL,2,19410.36
5939.78,23621.69,42.95,PERISHABLE,AIR,3,83447.07
5985.99,15284.98,50.68,STANDARD,ROAD,1,20394.71
3087.7,12090.84,56.74,HAZARDOUS,ROAD,2,14443.87
2530.85,12683.79,62.13,STANDARD,SEA,3,4761.32
6889.1,14756.35,23.17,STANDARD,RAIL,3,17455.76
6895.46,25142.03,1.39,STANDARD,AIR,3,76001.09
7376.76,28557.5,65.25,STANDARD,ROAD,2,29907.65
7766.88,30575.18,48.44,HAZARDOUS,RAIL,2,35257.74
4370.84,25202.22,75.33,STANDARD,SEA,1,8980.0
4287.81,10161.48,74.01,HAZARDOUS,SEA,1,12186.63
6795.59,22051.5,75.98,STANDARD,ROAD,3,28149.45
5542.2,14059.54,43.92,STANDARD,RAIL,3,14667.03
5981.62,8223.99,30.36,STANDARD,SEA,2,9929.51
6774.45,26923.8,71.34,STANDARD,ROAD,2,25774.98
7570.55,1325.8,40.89,STANDARD,SEA,1,13482.81
2906.06,28866.21,16.92,STANDARD,SEA,1,5913.48
3223.68,14821.13,77.02,FRAGILE,SEA,4,9319.01
844.15,20426.73,79.49,STANDARD,SEA,1,1625.47
4936.47,21133.39,42.23,STANDARD,ROAD,2,16944.02
353.71,28654.26,7.28,STANDARD,SEA,3,784.27
3984.3,20409.76,35.21,PERISHABLE,SEA,4,11151.25
4635.35,19684.48,72.42,PERISHABLE,RAIL,1,17138.09
2471.27,2226.2,81.21,STANDARD,AIR,1,22375.25
5042.54,16637.22,18.71,STANDARD,RAIL,2,12772.59
307.73,4890.39,6.49,STANDARD,ROAD,4,999.36
365.59,23624.14,79.02,PERISHABLE,RAIL,1,1491.66
7000.97,16439.88,35.35,STANDARD,AIR,3,70921.64
3093.61,21799.27,48.99,STANDARD,ROAD,2,11901.91
1123.66,1429.37,87.14,STANDARD,SEA,4,2613.95
4462.96,2804.87,6.46,STANDARD,SEA,1,7001.03
6556.45,22950.72,58.52,STANDARD,RAIL,1,17691.77
1873.69,2399.49,7.13,HAZARDOUS,ROAD,4,8337.06
5313.42,2373.09,34.1,STANDARD,SEA,2,8104.95
771.19,486.26,72.44,FRAGILE,ROAD,4,4327.36
486.71,30612.39,39.3,STANDARD,SEA,4,1124.57
4539.95,23626.52,89.75,STANDARD,RAIL,2,13705.52
4618.37,11368.72,50.54,PERISHABLE,RAIL,1,15309.95
5436.28,9559.49,29.24,STANDARD,SEA,3,9610.21
6185.47,11255.53,20.2,HAZARDOUS,RAIL,2,21463.48
8295.95,24811.45,31.87,FRAGILE,RAIL,3,29069.82
4412.74,21197.72,33.84,STANDARD,RAIL,1,12335.33
2778.98,6007.74,6.65,PERISHABLE,RAIL,4,8826.67
6769.32,5654.09,33.58,STANDARD,RAIL,3,16526.1
2338.53,3238.82,42.05,PERISHABLE,SEA,1,4879.98
3759.31,21163.66,65.19,STANDARD,RAIL,1,9797.81
712.96,24483.49,59.28,PERISHABLE,RAIL,4,3100.65
264.21,8554.98,63.93,STANDARD,SEA,4,525.09
8184.38,768.14,1.25,FRAGILE,ROAD,1,25509.13
7114.03,2721.28,19.98,HAZARDOUS,ROAD,1,30753.86
5930.98,30974.74,59.72,PERISHABLE,AIR,3,89083.58
3505.65,9524.69,43.82,PERISHABLE,SEA,1,8691.62
1514.34,24638.22,0.98,HAZARDOUS,SEA,1,4649.78
1371.89,20026.77,72.5,PERISHABLE,SEA,3,3574.6
2164.55,12283.87,69.67,STANDARD,ROAD,2,8146.0
4690.97,6661.42,49.58,STANDARD,SEA,3,9067.77
6088.34,3972.23,6.45,STANDARD,RAIL,3,13523.36
5628.67,19718.91,69.1,STANDARD,RAIL,4,16916.46
2415.44,24810.82,52.74,STANDARD,RAIL,3,7241.01
8118.61,20640.55,70.49,FRAGILE,ROAD,1,36802.2
6285.23,17016.64,67.78,STANDARD,ROAD,1,22563.69
4734.29,1438.24,72.37,FRAGILE,AIR,1,51305.81
5219.04,30994.79,46.86,STANDARD,RAIL,2,15545.88
3595.62,25578.98,13.06,STANDARD,RAIL,1,9918.6
2143.33,9441.02,60.57,FRAGILE,ROAD,2,9434.3
3057.97,31361.05,56.03,HAZARDOUS,ROAD,1,18499.99
6453.8,19300.02,66.93,HAZARDOUS,SEA,3,17906.89
171.62,18679.28,15.7,FRAGILE,RAIL,4,665.31
1030.81,23963.53,17.95,STANDARD,RAIL,1,2718.6
438.72,25995.46,80.19,FRAGILE,ROAD,2,2032.65
394.16,21041.67,67.62,STANDARD,SEA,2,752.79
7278.64,4186.25,81.79,STANDARD,ROAD,4,31260.42
5995.91,10890.73,68.41,STANDARD,ROAD,1,21465.41
4056.77,29705.87,53.95,STANDARD,RAIL,3,13819.26
876.7,7265.24,59.04,STANDARD,ROAD,1,2985.47
4204.15,11972.13,80.08,PERISHABLE,ROAD,1,23550.07
4050.84,13883.25,52.3,PERISHABLE,SEA,4,11154.43
1513.56,14117.02,57.1,STANDARD,SEA,1,2814.2
3716.05,19652.77,14.5,STANDARD,SEA,3,7382.48
3417.37,30184.12,42.92,STANDARD,RAIL,2,11455.5
5253.93,7778.1,64.62,STANDARD,ROAD,4,20770.86
5416.54,3975.89,24.75,PERISHABLE,ROAD,3,21710.87
432.82,6399.31,18.6,STANDARD,AIR,2,3298.58
3215.48,28392.9,28.59,HAZARDOUS,SEA,4,10950.97
5338.52,20701.36,22.11,STANDARD,SEA,4,10645.4
4301.5,9220.43,19.73,PERISHABLE,ROAD,2,17499.88
7287.34,26128.71,38.52,STANDARD,RAIL,2,22642.37
5615.96,27577.7,81.75,HAZARDOUS,ROAD,3,33800.84
1426.8,27103.81,45.88,STANDARD,SEA,1,2863.74
646.31,29413.76,17.32,FRAGILE,AIR,1,8397.99
5478.44,8146.49,7.39,STANDARD,AIR,1,45823.71
274.02,24185.84,62.81,STANDARD,RAIL,1,754.02
4999.8,14791.21,34.76,PERISHABLE,RAIL,1,17982.73
7994.95,26959.75,74.05,PERISHABLE,AIR,3,126193.67
4912.76,23338.85,59.53,PERISHABLE,SEA,4,14438.04
3330.04,24868.67,71.76,FRAGILE,ROAD,3,16187.52
5485.79,21031.56,24.84,HAZARDOUS,RAIL,3,23978.24
3922.24,5759.98,62.47,STANDARD,ROAD,3,15327.73
4660.46,17486.36,24.13,STANDARD,RAIL,4,13469.7
8005.38,31510.96,84.55,STANDARD,RAIL,3,25328.13
3312.57,30002.68,57.46,FRAGILE,SEA,3,8421.78
8172.06,1477.24,29.54,STANDARD,RAIL,4,22388.88
7700.21,5357.59,24.62,STANDARD,ROAD,3,24984.67
1704.44,4302.15,17.59,FRAGILE,RAIL,1,4429.69
636.1,23258.76,62.67,HAZARDOUS,SEA,2,1758.05
901.57,26187.35,20.08,STANDARD,SEA,3,1791.96
203.97,6911.01,53.78,STANDARD,ROAD,2,678.02
848.04,16236.7,24.18,STANDARD,AIR,3,8248.19
5821.41,26918.43,59.75,STANDARD,AIR,3,61599.19
651.54,23476.37,73.44,STANDARD,ROAD,1,2405.33
2745.34,17397.37,70.13,FRAGILE,ROAD,4,13373.87
7189.2,18932.09,68.6,FRAGILE,SEA,2,17159.3
246.65,16316.7,17.3,FRAGILE,SEA,4,612.17
6932.26,9591.8,8.41,STANDARD,AIR,1,55541.33
2431.67,18124.2,63.06,HAZARDOUS,SEA,1,6613.0
1048.49,22075.44,33.47,STANDARD,SEA,2,2027.64
5937.43,27959.0,39.19,STANDARD,RAIL,4,19442.13
5364.57,20397.69,3.29,HAZARDOUS,ROAD,1,26412.83
7464.64,24379.78,23.73,STANDARD,ROAD,3,31291.93
6261.35,5206.29,3.51,STANDARD,RAIL,3,14148.8
6839.41,14823.68,79.19,PERISHABLE,SEA,3,18864.24
2433.19,397.68,22.28,STANDARD,SEA,4,4569.92
1549.36,7969.06,50.38,FRAGILE,SEA,3,4069.41
6392.69,23274.13,3.99,STANDARD,ROAD,3,23438.09
6867.75,31738.74,60.18,FRAGILE,SEA,1,18277.42
8419.77,3263.78,29.41,STANDARD,ROAD,1,25282.04
3536.62,12907.67,80.86,STANDARD,RAIL,3,10633.07
3193.55,25622.26,79.99,FRAGILE,SEA,3,8023.44
6610.69,6608.74,29.61,STANDARD,SEA,1,10420.87
2929.79,17807.21,81.14,STANDARD,AIR,2,27105.77
7914.9,23484.97,89.66,STANDARD,ROAD,4,33813.31
7303.59,19749.94,74.37,STANDARD,RAIL,4,24737.27
3675.0,6097.99,76.12,STANDARD,ROAD,1,13907.46
6394.86,11436.77,22.79,STANDARD,RAIL,4,17924.55
6425.89,25102.96,52.11,PERISHABLE,SEA,1,16454.1
921.4,17779.83,6.52,STANDARD,SEA,1,1657.12
7676.57,266.82,9.0,STANDARD,SEA,1,11641.86
4319.38,24375.61,89.9,STANDARD,ROAD,1,16384.39
7033.57,1226.43,29.73,STANDARD,SEA,2,11450.14
2754.42,23888.91,67.46,PERISHABLE,ROAD,3,13762.57
7617.17,6559.13,72.7,STANDARD,SEA,3,15095.49
3338.75,30662.54,77.29,PERISHABLE,ROAD,2,16328.1
141.58,11837.31,89.79,STANDARD,ROAD,4,677.51
7700.48,10529.12,22.11,HAZARDOUS,RAIL,4,29796.3
821.37,4849.53,4.11,FRAGILE,AIR,3,8594.19
2748.2,9848.77,37.3,PERISHABLE,ROAD,4,13933.88
8078.02,28065.16,12.14,FRAGILE,RAIL,3,29410.96
8082.63,31883.07,2.51,FRAGILE,SEA,3,21172.79
4895.55,11849.07,32.76,STANDARD,RAIL,2,13155.93
5389.02,14410.68,70.64,STANDARD,ROAD,4,24327.54
3839.36,23134.06,51.17,PERISHABLE,RAIL,2,14271.48
2527.63,28369.65,28.49,STANDARD,RAIL,3,7974.72
2827.22,19018.11,59.06,STANDARD,AIR,3,27219.83
5732.78,12589.67,21.27,HAZARDOUS,SEA,3,15016.32
6407.56,13262.64,1.79,STANDARD,RAIL,1,15462.36
6738.84,22290.22,68.91,PERISHABLE,AIR,1,81628.43
6722.27,202.66,56.33,HAZARDOUS,RAIL,1,24799.43
820.69,19864.9,68.73,FRAGILE,ROAD,2,3722.78
4227.85,11440.23,3.98,PERISHABLE,ROAD,3,17745.88
536.37,25434.89,75.42,STANDARD,RAIL,4,1759.28
4693.52,3066.4,55.95,STANDARD,ROAD,2,15630.69
3780.93,18863.65,50.92,STANDARD,AIR,2,34419.52
7551.1,15443.04,56.4,STANDARD,SEA,2,14425.94
3015.23,20590.18,77.87,HAZARDOUS,ROAD,4,19509.93
1039.22,2168.83,53.03,PERISHABLE,SEA,3,2593.55
1258.28,18601.48,52.5,STANDARD,SEA,1,2401.08
